"","conReal","conShuf","allReal","allShuf","realOds","shufOdds","lor","name","fam","idx","pval","fdr","res"
"MA0069.1",371,161,3678,3255,0.112186271545207,0.0520361990950226,0.768221015774191,"PAX6","Paired plus homeo domain",154,1.36486679703582e-13,8.81913930392373e-13,"enriched"
"MA0461.2",181,134,1612,2413,0.126484975541579,0.0587977182974989,0.766020481004148,"Atoh1","Tal-related factors",155,2.17521972507413e-09,9.58974171288246e-09,"enriched"
"MA1623.1",282,97,4822,3450,0.0621145374449339,0.0289293170295258,0.764124547865566,"Stat2","STAT factors",156,6.27668499070034e-10,2.94548345932307e-09,"enriched"
"MA0255.1",211,66,2714,1744,0.0842988413903316,0.0393325387365912,0.762315987045018,"z","",157,5.19660637136856e-07,1.70513646560531e-06,"enriched"
"MA1584.1",485,203,5360,4575,0.0994871794871795,0.0464318389752973,0.762043377760177,"ZIC5","More than 3 adjacent zinc finger factors",158,4.62188347990147e-17,4.58189255595069e-16,"enriched"
"MA0834.1",281,79,3582,2065,0.0851257194789458,0.0397784491440081,0.760803929618649,"ATF7","Jun-related factors",159,2.72058479879897e-08,1.06789309859399e-07,"enriched"
"MA0653.1",253,94,4422,3402,0.0606860158311346,0.028415961305925,0.758762284720301,"IRF9","Interferon-regulatory factors",160,2.18052460376256e-09,9.58974171288246e-09,"enriched"
"MA0608.1",525,138,4562,2374,0.130047064651969,0.0617173524150268,0.745331290856468,"Creb3l2","CREB-related factors",161,3.15137077058898e-12,1.77661170959379e-11,"enriched"
"MA1631.1",682,225,6018,3927,0.127811094452774,0.0607779578606159,0.743326161177025,"ASCL1(var.2)","MyoD / ASC-related factors",162,4.22957781466995e-18,4.55492995425995e-17,"enriched"
"MA0697.1",506,245,5163,4981,0.108653639682199,0.0517314189189189,0.742099892324203,"ZIC3","More than 3 adjacent zinc finger factors",163,3.7924219865212e-18,4.13718762165949e-17,"enriched"
"MA1468.1",303,206,2355,3135,0.14766081871345,0.0703311710481393,0.741702777256861,"ATOH7","Tal-related factors",164,6.98372637830269e-13,4.19023582698161e-12,"enriched"
"MA1607.1",529,187,5430,3821,0.107937155682514,0.0514584479911943,0.740774519050282,"Foxl2","Forkhead box (FOX) factors",165,1.94640042490541e-15,1.55712033992433e-14,"enriched"
"MA0611.1",443,181,2867,2253,0.182755775577558,0.0873552123552124,0.738167994969478,"Dux","Paired-related HD factors",166,1.12004637002151e-12,6.53360382512549e-12,"enriched"
"MA1135.1",233,180,2046,3110,0.128516271373414,0.0614334470989761,0.738101093931752,"FOSB::JUNB","Fos-related factors, Jun-related factors",167,4.0227510121982e-11,2.0649312324046e-10,"enriched"
"MA1487.1",495,148,5934,3525,0.0910093767236624,0.0438258809594314,0.730738009767182,"FOXE1","Forkhead box (FOX) factors",168,4.97604022870876e-13,3.07343661184953e-12,"enriched"
"MA1560.1",491,143,3886,2193,0.144624447717231,0.0697560975609756,0.729135529674271,"SOHLH2","PAS domain factors",169,1.40813074676737e-11,7.68071316418565e-11,"enriched"
"MA0761.2",303,103,3116,2073,0.107714184145041,0.0522842639593909,0.722785830521911,"ETV1","Ets-related factors",170,8.88585236916079e-09,3.6588803873015e-08,"enriched"
"MA1621.1",494,234,3830,3482,0.148081534772182,0.0720443349753695,0.720481339633152,"Rbpjl","CSL-related factors",171,1.88162344719634e-15,1.51977278427397e-14,"enriched"
"MA1108.2",363,216,3084,3539,0.133406835722161,0.0650015046644598,0.718992956152034,"MXI1","bHLH-ZIP factors",172,1.2910693543467e-13,8.40696323760642e-13,"enriched"
"MA0830.2",669,213,6095,3748,0.123295245116108,0.0602545968882603,0.716002979530599,"TCF4","E2A-related factors",173,2.97338136465051e-16,2.54861259827187e-15,"enriched"
"MA1460.1",409,128,4135,2514,0.109769189479334,0.0536462699077955,0.715967943619512,"pho","",174,1.42044926755758e-10,6.97764552484424e-10,"enriched"
"MA0663.1",396,157,3092,2343,0.146884272997033,0.0718206770356816,0.715472602610459,"MLX","bHLH-ZIP factors",175,3.10368057792594e-11,1.65005802877075e-10,"enriched"
"MA1630.1",330,136,5321,4342,0.0661190142256061,0.0323347598668569,0.71531355551751,"Znf281","More than 3 adjacent zinc finger factors",176,3.16287768537198e-11,1.67095424887576e-10,"enriched"
"MA0147.3",495,190,4158,3049,0.135135135135135,0.0664568030779993,0.709723119951702,"MYC","bHLH-ZIP factors",177,1.7473552423325e-13,1.11195333602977e-12,"enriched"
"MA1122.1",552,126,6176,2732,0.0981507823613087,0.0483499616270146,0.708039463519907,"TFDP1","E2F-related factors",178,4.46657632213793e-11,2.27389340036113e-10,"enriched"
"MA0489.1",184,99,1928,2003,0.105504587155963,0.0519957983193277,0.707591518356781,"JUN(var.2)","Jun-related factors",179,2.91939338136616e-07,1.02178768347816e-06,"enriched"
"MA0080.5",223,96,4382,3723,0.0536186583313296,0.0264681555004136,0.705954779532273,"SPI1","Ets-related factors",180,3.44349441368776e-08,1.33913671643413e-07,"enriched"
"MA0822.1",323,129,3350,2573,0.106706309877767,0.0527823240589198,0.703903930130752,"HES7","Hairy-related factors",181,8.78947033027662e-10,4.0790912030013e-09,"enriched"
"MA1654.1",119,44,2972,2168,0.0417104801962846,0.0207156308851224,0.699863890341598,"ZNF16","More than 3 adjacent zinc finger factors",182,0.000150507837117493,0.000368590621512229,"enriched"
"MA0478.1",200,96,2074,1906,0.106723585912487,0.0530386740331492,0.699220836541704,"FOSL2","Fos-related factors",183,3.74848744279888e-07,1.26964897256091e-06,"enriched"
"MA0751.1",527,223,5664,4592,0.102589059762507,0.0510414282444495,0.698093675565412,"ZIC4","More than 3 adjacent zinc finger factors",184,1.49785773133706e-15,1.23352989639523e-14,"enriched"
"MA1101.2",116,87,1547,2236,0.0810621942697414,0.0404839460214053,0.69431118953784,"BACH2","Jun-related factors",185,6.7634961672677e-06,1.98648139178492e-05,"enriched"
"MA0593.1",564,140,5522,2594,0.113755546591367,0.0570497147514262,0.690128741564475,"FOXP2","Forkhead box (FOX) factors",186,4.03153240612327e-11,2.0649312324046e-10,"enriched"
"MA0469.3",237,95,2485,1886,0.105427046263345,0.0530429927414852,0.68691644058172,"E2F3","E2F-related factors",187,3.17327514718297e-07,1.09243898509578e-06,"enriched"
"MA0656.1",273,89,3416,2123,0.0868596881959911,0.043756145526057,0.685661965263758,"JDP2(var.2)","Fos-related factors",188,2.25470606317495e-07,8.16359091839206e-07,"enriched"
"MA0093.3",292,147,2820,2672,0.115506329113924,0.0582178217821782,0.685133801932258,"USF1","bHLH-ZIP factors",189,1.24827707351512e-09,5.66785265812272e-09,"enriched"
"MA0604.1",812,202,5919,2710,0.158997454474251,0.0805422647527911,0.680106117865641,"Atf1","CREB-related factors",190,6.43547293258098e-14,4.3157602344557e-13,"enriched"
"MA1655.1",345,97,4716,2523,0.0789293067947838,0.0399835119538335,0.680085433168658,"ZNF341","Factors with multiple dispersed zinc fingers",191,3.68984597024229e-08,1.42832747235186e-07,"enriched"
"MA1451.1",150,43,2407,1320,0.0664599025254763,0.033672670321065,0.679912257617697,"nhr-6","",192,0.000252920290756631,0.000603559784760143,"enriched"
"MA1622.1",207,102,2175,2013,0.105182926829268,0.0533751962323391,0.678354846609172,"Smad2::Smad3","SMAD factors::SMAD factors",193,4.23331246718302e-07,1.42810541061596e-06,"enriched"
"MA1567.1",301,101,3290,2072,0.100702576112412,0.0512430238457636,0.675591892776399,"TBX6","TBX6-related factors",194,9.26158630340291e-08,3.45765888660375e-07,"enriched"
"MA0099.3",261,147,2448,2555,0.119341563786008,0.061046511627907,0.670353606295901,"FOS::JUN","Fos-related factors, Jun-related factors",195,7.00499013446501e-09,2.9718139964397e-08,"enriched"
"MA0829.2",228,164,2226,2972,0.114114114114114,0.0584045584045584,0.669805007067445,"SREBF1(var.2)","bHLH-ZIP factors",196,4.96183781499176e-09,2.12650192071075e-08,"enriched"
"MA0162.4",939,334,12097,8079,0.0841548664635239,0.0431245965138799,0.668565230677058,"EGR1","Three-zinc finger Kruppel-related factors",197,1.75853559614097e-22,3.0774372932467e-21,"enriched"
"MA1651.1",363,105,4420,2393,0.0894749815134336,0.0458916083916084,0.667676773400569,"ZFP42","More than 3 adjacent zinc finger factors",198,2.98022961948418e-08,1.16436878156591e-07,"enriched"
"MA0657.1",241,131,3424,3502,0.0757147345271756,0.0388608721447642,0.666984898241471,"KLF13","Three-zinc finger Krüppel-related factors",199,1.10082149906569e-08,4.4887866952193e-08,"enriched"
"MA0867.2",291,77,4000,1988,0.0784578053383661,0.0402930402930403,0.666382212068491,"SOX4","SOX-related factors",200,1.4127097273428e-06,4.36278004032336e-06,"enriched"
"MA0249.2",229,109,2526,2233,0.0996952546800174,0.0513182674199623,0.664071300997827,"twi","",201,2.29136329866776e-07,8.22540671316631e-07,"enriched"
"MA0840.1",318,81,3929,1864,0.0880642481307117,0.0454290521592821,0.661914824693421,"Creb5","CREB-related factors",202,1.02062637563754e-06,3.19897819229677e-06,"enriched"
"MA0526.3",306,142,2872,2444,0.11925175370226,0.0616854908774978,0.659188088457366,"USF2","bHLH-ZIP factors",203,7.21146411712395e-09,3.04403510471564e-08,"enriched"
"MA0062.3",299,259,3383,5410,0.0969520103761349,0.0502814987381091,0.656578926573514,"GABPA","Ets-related factors",204,1.92763875893114e-12,1.10905243664531e-11,"enriched"
"MA1683.1",612,226,5457,3673,0.126315789473684,0.065564258775747,0.655754325432039,"FOXA3","Forkhead box (FOX) factors",205,6.81241003364045e-14,4.50584600650234e-13,"enriched"
"MA0141.3",110,49,2236,1838,0.0517403574788335,0.0273896031302404,0.636074592288616,"ESRRB","Steroid hormone receptors (NR3)",206,0.000506957973583495,0.00113722722168382,"enriched"
"MA1570.1",242,209,1971,3026,0.139965297860035,0.0741924032658857,0.634732756384957,"TFAP4(var.2)","bHLH-ZIP factors",207,5.32425647034176e-09,2.27024133760765e-08,"enriched"
"MA0766.2",134,79,2151,2315,0.0664352999504214,0.0353309481216458,0.631469243804668,"GATA5","GATA-type zinc fingers",208,3.52876022806107e-05,9.59274625103981e-05,"enriched"
"MA0014.3",407,86,4837,1837,0.0918735891647856,0.049114791547687,0.626253358435758,"PAX5","Paired domain only",209,1.42113457570162e-06,4.37272177138961e-06,"enriched"
"MA0742.1",380,181,4713,4040,0.0876990537733672,0.0469033428349313,0.625822161252315,"Klf12","Three-zinc finger Krüppel-related factors",210,1.9682099178972e-10,9.55662619094593e-10,"enriched"
"MA1515.1",731,352,8438,7277,0.0948488387180485,0.0508303249097473,0.623791329429227,"KLF2","Three-zinc finger Kruppel-related factors",211,1.45340769991644e-18,1.71952460271804e-17,"enriched"
"MA0450.1",433,137,4755,2686,0.100185099490976,0.0537465672812868,0.622739669483649,"hkb","",212,8.19473795327422e-09,3.40771281225264e-08,"enriched"
"MA1152.1",265,210,3644,5162,0.0784255696951761,0.0424071082390953,0.614834022918896,"SOX15","SOX-related factors",213,7.87207371375611e-10,3.67363439975285e-09,"enriched"
"MA0155.1",269,117,4156,3243,0.0692050424491896,0.0374280230326296,0.614654024933282,"INSM1","Factors with multiple dispersed zinc fingers",214,2.27492998017281e-07,8.20146430620241e-07,"enriched"
"MA1142.1",287,147,2783,2508,0.114983974358974,0.0622617534942821,0.613445436577079,"FOSL1::JUND","Fos-related factors, Jun-related factors",215,7.29390802958403e-08,2.7474810515025e-07,"enriched"
"MA0841.1",125,87,1404,1727,0.0977326035965598,0.0530487804878049,0.611023337887119,"NFE2","Jun-related factors",216,8.75589169573049e-05,0.000224236250744318,"enriched"
"MA0668.1",141,108,1750,2377,0.0876320696084524,0.0475980608197444,0.610355001041407,"NEUROD2","Tal-related factors",217,1.464715406442e-05,4.18490116126285e-05,"enriched"
"MA1448.1",107,79,1097,1424,0.108080808080808,0.0587360594795539,0.609825330902189,"fos-1","Fos-related factors",218,0.000278316914205636,0.000656702831271726,"enriched"
"MA1462.1",152,77,2492,2255,0.064957264957265,0.0353535353535354,0.608331194133751,"vfl","",219,5.27446496703387e-05,0.000140048493359771,"enriched"
"MA0729.1",91,34,2386,1606,0.0396514161220044,0.0216284987277354,0.606114832395195,"RARA","Thyroid hormone receptor-related factors (NR1)",220,0.00454606936672557,0.00848599615122106,"enriched"
"MA0472.2",506,164,5710,3247,0.0972328977709454,0.0531949399935128,0.603145829717022,"EGR2","Three-zinc finger Krüppel-related factors",221,1.03582666306188e-09,4.75461419110371e-09,"enriched"
"MA1134.1",247,147,2121,2183,0.131803628601921,0.0722003929273085,0.601867664721287,"FOS::JUNB","Fos-related factors, Jun-related factors",222,4.57665065355608e-07,1.51952037509372e-06,"enriched"
"MA0855.1",123,40,2876,1673,0.0446785325099891,0.0244947948560931,0.601032489086339,"RXRB","RXR-related receptors (NR2)",223,0.00188031342745398,0.00379678672851284,"enriched"
"MA0538.1",448,143,5955,3346,0.0813510078082441,0.0446456447080862,0.600016462501755,"daf-12","GATA-type zinc fingers",224,8.09343057105992e-09,3.38232919387579e-08,"enriched"
"MA0460.1",64,47,1353,1771,0.0496508921644686,0.027262180974478,0.599515929934064,"ttk","Other factors with up to three adjacent zinc fingers",225,0.00377108227422925,0.00721573829237488,"enriched"
"MA0222.1",300,103,3705,2232,0.0881057268722467,0.0483795209018318,0.599460932736432,"exd","TALE-type homeo domain factors",226,1.63230074313147e-06,4.9859368153834e-06,"enriched"
"MA0677.1",143,61,2836,2152,0.0531006312662458,0.0291726446676231,0.598957372703631,"Nr2f6","RXR-related receptors (NR2)",227,0.000236644502206045,0.000567946805294509,"enriched"
"MA1516.1",404,169,5128,3765,0.0855207451312447,0.0469966629588432,0.598682381312335,"KLF3","Three-zinc finger Kruppel-related factors",228,1.94287617031425e-09,8.63500520139667e-09,"enriched"
"MA1130.1",249,151,2383,2501,0.11668228678538,0.0642553191489362,0.596590234926289,"FOSL2::JUN","Fos-related factors, Jun-related factors",229,2.99954607206325e-07,1.04335217305299e-06,"enriched"
"MA0746.2",530,262,5978,5131,0.0972834067547724,0.0538098172109263,0.592172511138423,"SP3","Three-zinc finger Kruppel-related factors",230,1.06292233956489e-12,6.24373961702453e-12,"enriched"
"MA0685.1",462,185,6466,4517,0.0769487008660893,0.0427054478301016,0.588812481370943,"SP4","Three-zinc finger Krüppel-related factors",231,3.5692695497328e-10,1.6938906337715e-09,"enriched"
"MA0030.1",358,123,4265,2534,0.0916304069618633,0.0510161758606387,0.585620414154383,"FOXF2","Forkhead box (FOX) factors",232,3.37348153410217e-07,1.15192052383977e-06,"enriched"
"MA0105.4",144,80,1812,1744,0.0863309352517986,0.0480769230769231,0.585385703364581,"NFKB1","NF-kappaB-related factors",233,0.000142732808618029,0.000350599980729205,"enriched"
"MA0821.1",305,143,3015,2423,0.112546125461255,0.062719298245614,0.584693954422244,"HES5","Hairy-related factors",234,2.81974043038791e-07,1.00363642437536e-06,"enriched"
"MA0595.1",214,149,2505,3011,0.0934089917066783,0.0520614954577219,0.584561986739293,"SREBF1","bHLH-ZIP factors",235,7.1469805058377e-07,2.2913983301159e-06,"enriched"
"MA0633.1",183,183,1810,3095,0.112476951444376,0.0628434065934066,0.582102302097539,"Twist2","Tal-related factors",236,8.25129493737703e-07,2.61550481033838e-06,"enriched"
"MA0107.1",280,157,2660,2535,0.117647058823529,0.0660218671152229,0.577703108406148,"RELA","NF-kappaB-related factors",237,3.00584792712885e-07,1.04335217305299e-06,"enriched"
"MA0481.3",625,216,5472,3194,0.128945739632763,0.0725319006044325,0.575365219450815,"FOXP1","Forkhead box (FOX) factors",238,1.43256923691094e-10,6.99626836630924e-10,"enriched"
"MA0772.1",238,136,4383,4338,0.0574185765983112,0.0323655402189434,0.573273601770973,"IRF7","Interferon-regulatory factors",239,5.30758979774106e-07,1.73477643194649e-06,"enriched"
"MA0532.1",217,104,3002,2471,0.0779174147217235,0.0439374735952683,0.572881911551687,"Stat92E","STAT factors",240,1.03230224742345e-05,2.97984153895428e-05,"enriched"
"MA1126.1",455,162,5273,3203,0.0944375259443753,0.053271950016442,0.572528588221114,"FOS::JUN(var.2)","Fos-related factors, Jun-related factors",241,1.30589373044782e-08,5.27380160373159e-08,"enriched"
"MA0744.2",272,117,3454,2543,0.0854808296668762,0.0482275350370981,0.572362012104504,"SCRT2","More than 3 adjacent zinc finger factors",242,2.28699353244185e-06,6.91034016996818e-06,"enriched"
"MA0790.1",236,151,3190,3501,0.0798916723087339,0.0450746268656716,0.572352129938473,"POU4F1","POU domain factors",243,4.64742738497949e-07,1.53694448952078e-06,"enriched"
"MA0753.2",1382,725,13110,11619,0.117837653478854,0.0665503947126859,0.571348383290127,"ZNF740","Other factors with up to three adjacent zinc fingers",244,1.31358006175174e-28,5.80740658879715e-27,"enriched"
"MA1511.1",500,269,5753,5245,0.0951837045497811,0.0540594855305466,0.565723732285407,"KLF10","Three-zinc finger Kruppel-related factors",245,1.11317882323353e-11,6.15177770734317e-11,"enriched"
"MA1470.1",217,82,3442,2227,0.0672868217054264,0.0382284382284382,0.565384708408451,"BACH2(var.2)","Jun-related factors",246,5.28516338036278e-05,0.000140048493359771,"enriched"
"MA1136.1",314,131,3573,2521,0.0963485731819577,0.0548117154811716,0.564068628795097,"FOSB::JUNB(var.2)","Fos-related factors, Jun-related factors",247,9.67261822471138e-07,3.04307090215639e-06,"enriched"
"MA1148.1",167,46,4465,2124,0.0388552815262913,0.0221366698748797,0.562608510384377,"PPARA::RXRA","Thyroid hormone receptor-related factors (NR1), RXR-related receptors (NR2)",248,0.00135469973041645,0.00278506712037353,"enriched"
"MA1485.1",254,122,3102,2523,0.089185393258427,0.0508121615993336,0.562581545974667,"FERD3L","Tal-related factors",249,3.52381393692166e-06,1.05338210214028e-05,"enriched"
"MA0683.1",199,121,2662,2749,0.0807957775071052,0.0460426179604262,0.562357260611715,"POU4F2","POU domain factors",250,8.24202868181373e-06,2.41230107760402e-05,"enriched"
"MA0864.2",507,153,4833,2437,0.117198335644938,0.0669877408056042,0.559358046461645,"E2F2","E2F-related factors",251,7.45488493930496e-08,2.79558185223936e-07,"enriched"
"MA0605.2",185,92,2434,2046,0.082258781680747,0.0470829068577277,0.557960128672697,"ATF3","Jun-related factors",252,6.8233774792155e-05,0.000177450064474954,"enriched"
"MA0740.1",489,230,6817,5423,0.077275600505689,0.0442903909108415,0.556610514948506,"KLF14","Three-zinc finger Krüppel-related factors",253,1.24648662492765e-10,6.15911038199544e-10,"enriched"
"MA1132.1",322,126,3219,2103,0.111149464963756,0.0637329286798179,0.556174463994197,"JUN::JUNB","Jun-related factors, Jun-related factors",254,2.54129047609961e-06,7.65119713234291e-06,"enriched"
"MA0076.2",470,274,3802,3658,0.141056422569028,0.0809692671394799,0.555090305755415,"ELK4","Ets-related factors",255,2.66607995309907e-10,1.28707308080645e-09,"enriched"
"MA0768.1",195,146,3091,3908,0.0673342541436464,0.038809144072302,0.551013193210779,"LEF1","TCF-7-related factors",256,3.06832041078291e-06,9.20496123234873e-06,"enriched"
"MA0242.1",348,164,4120,3245,0.0922587486744433,0.0532294709509899,0.549984906793596,"Bgb::run","Runt-related factors, Runt-related factors",257,1.39663014687735e-07,5.1454794884955e-07,"enriched"
"MA0149.1",163,126,5124,6769,0.0328562789760129,0.0189673340358272,0.549424629219476,"EWSR1-FLI1","Ets-related factors",258,8.45781332422562e-06,2.46686221956581e-05,"enriched"
"MA0506.1",736,192,6900,2977,0.119402985074627,0.0689407540394973,0.549256702622473,"NRF1","Jun-related factors",259,1.87198944803437e-09,8.36420817206844e-09,"enriched"
"MA1512.1",586,308,6788,5952,0.0944856497903902,0.0545712260807938,0.548941219915749,"KLF11","Three-zinc finger Kruppel-related factors",260,1.43974235358252e-12,8.34057639316769e-12,"enriched"
"MA1440.1",559,173,7185,3717,0.0843646242076668,0.0488148984198646,0.547112607522451,"fkh-9","Forkhead box (FOX) factors",261,8.07392171363222e-09,3.38232919387579e-08,"enriched"
"MA0512.2",146,58,2866,1925,0.0536764705882353,0.031065881092662,0.546864595413597,"Rxra","RXR-related receptors (NR2)",262,0.00101736609128277,0.00214720481577268,"enriched"
"MA0758.1",374,181,3917,3141,0.105560259666949,0.0611486486486486,0.54597420860134,"E2F7","E2F-related factors",263,6.89251662682794e-08,2.60797926420517e-07,"enriched"
"MA0818.1",88,92,1408,2472,0.0666666666666667,0.038655462184874,0.54501698851427,"BHLHE22","Tal-related factors",264,0.000817427588345006,0.00176513926532084,"enriched"
"MA1554.1",412,140,4606,2592,0.0982355746304244,0.0570962479608483,0.542630012334459,"RFX7","RFX-related factors",265,5.72974982969197e-07,1.86549994455087e-06,"enriched"
"MA0491.2",147,182,1486,3031,0.109783420463032,0.0638820638820639,0.541470888508677,"JUND","Jun-related factors",266,1.67029334383776e-05,4.72406198257143e-05,"enriched"
"MA0160.1",127,66,1921,1668,0.0707915273132664,0.0411985018726592,0.541337429441729,"NR4A2","NGFI-B-related receptors (NR4)",267,0.00111124992260975,0.00232201476366217,"enriched"
"MA0031.1",258,162,2786,2889,0.102056962025316,0.0594059405940594,0.541136877268074,"FOXD1","Forkhead box (FOX) factors",268,1.37638425423651e-06,4.26628329726446e-06,"enriched"
"MA1624.1",152,100,2123,2324,0.0771182141045155,0.0449640287769784,0.539476683075938,"Stat5a","STAT factors",269,0.000132469518198663,0.000331173795496656,"enriched"
"MA0649.1",505,200,4200,2700,0.136671177266576,0.08,0.535551240201313,"HEY2","Hairy-related factors",270,2.65307159549909e-08,1.05121704727323e-07,"enriched"
"MA0770.1",140,128,1984,3007,0.0759219088937093,0.0444598819034387,0.535118045185324,"HSF2","HSF factors",271,6.47559663916485e-05,0.000168928607978213,"enriched"
"MA0842.2",220,89,3409,2292,0.0689871433051113,0.0403994552882433,0.535103856412507,"NRL","Maf-related factors",272,8.45703980100675e-05,0.00021724505910843,"enriched"
"MA0689.1",133,67,2596,2179,0.0539991879821356,0.0317234848484848,0.531911755536402,"TBX20","TBX1-related factors",273,0.0009476531658469,0.00201526242863645,"enriched"
"MA1145.1",613,212,5846,3288,0.117141219185935,0.0689206762028609,0.530423985517526,"FOSL2::JUND(var.2)","Fos-related factors, Jun-related factors",274,3.70881309102471e-09,1.59764256228757e-08,"enriched"
"MA0839.1",278,140,3524,2907,0.0856438693776956,0.0505963136971449,0.526318922793722,"CREB3L1","CREB-related factors",275,3.88352672582971e-06,1.156795194928e-05,"enriched"
"MA1137.1",177,139,2006,2568,0.0967741935483871,0.0572251955537258,0.525386080054444,"FOSL1::JUNB","Fos-related factors, Jun-related factors",276,3.38992729808133e-05,9.24525626749453e-05,"enriched"
"MA1633.1",206,95,2725,2050,0.0817784835252084,0.0485933503836317,0.520527473255896,"BACH1","Jun-related factors",277,0.000137175685536394,0.000341921590061042,"enriched"
"MA0057.1",208,84,4147,2761,0.0528052805280528,0.0313784086664176,0.520491161407451,"MZF1(var.2)","More than 3 adjacent zinc finger factors",278,0.00016076754523635,0.000391434023184157,"enriched"
"MA0688.1",266,118,2944,2116,0.09932785660941,0.0590590590590591,0.519888117273415,"TBX2","TBX2-related factors",279,2.60955610338848e-05,7.23441295988886e-05,"enriched"
"MA1571.1",133,114,1858,2593,0.0771014492753623,0.0459862847922549,0.516778882396989,"TGIF2LX","TALE-type homeo domain factors",280,0.000232817124688716,0.000560362133921265,"enriched"
"MA0493.1",401,243,4443,4329,0.099208312716477,0.0594713656387665,0.511726861380022,"Klf1","Three-zinc finger Krüppel-related factors",281,1.58039268437112e-08,6.35181748742458e-08,"enriched"
"MA0480.1",456,269,4975,4715,0.100907280371764,0.0605038236617184,0.511495515025409,"Foxo1","Forkhead box (FOX) factors",282,2.38640099177302e-09,1.03328702736564e-08,"enriched"
"MA0767.1",238,99,3322,2237,0.0771725032425422,0.0463049579045837,0.510794180438655,"GCM2","GCM factors",283,9.53855964826317e-05,0.000242066166300334,"enriched"
"MA1593.1",273,119,3613,2533,0.0817365269461078,0.0492957746478873,0.505662617760161,"ZNF317","More than 3 adjacent zinc finger factors",284,2.77255883490783e-05,7.6109458213156e-05,"enriched"
"MA1545.1",183,125,2493,2732,0.0792207792207792,0.0479478327579593,0.502125025956782,"OVOL2","More than 3 adjacent zinc finger factors",285,8.31533493918022e-05,0.000214260164077036,"enriched"
"MA0917.1",195,80,2811,1851,0.0745412844036697,0.0451722190852626,0.500870849095609,"gcm2","GCM factors",286,0.000579502942674269,0.00128438646925168,"enriched"
"MA1107.2",763,322,10688,7224,0.0768765743073048,0.0466531440162272,0.499460883842606,"KLF9","Three-zinc finger Kruppel-related factors",287,4.16380572544052e-12,2.3162892777285e-11,"enriched"
"MA1637.1",241,100,3351,2221,0.077491961414791,0.0471475719000471,0.496891696893966,"EBF3","Early B-Cell Factor-related factors",288,0.000138930763383088,0.000344978685072231,"enriched"
"MA1557.1",120,103,1571,2145,0.0827015851137147,0.0504407443682664,0.494439500392833,"SMAD5","SMAD factors",289,0.000931391013547818,0.00199075941827015,"enriched"
"MA0535.1",493,106,6635,2271,0.0802670140019538,0.0489607390300231,0.494340019366446,"Mad","SMAD factors",290,2.44060264827869e-05,6.83368741518032e-05,"enriched"
"MA0623.2",128,102,1422,1792,0.0989180834621329,0.0603550295857988,0.494047783491619,"NEUROG1","Tal-related factors",291,0.000998490702675865,0.00211267554218571,"enriched"
"MA1564.1",799,433,9766,8397,0.0891044942567191,0.0543696634856856,0.494003431995824,"SP9","Three-zinc finger Kruppel-related factors",292,5.02167799354292e-14,3.40178186659359e-13,"enriched"
"MA0089.2",164,86,2486,2072,0.0706287683031869,0.0433031218529708,0.489212813917972,"NFE2L1","Jun-related factors",293,0.000786354239093488,0.00170241639391374,"enriched"
"MA0018.4",467,181,4688,2847,0.110637289741767,0.0678919729932483,0.488339381359227,"CREB1","CREB-related factors",294,7.7386998390092e-07,2.47167599420826e-06,"enriched"
"MA0163.1",247,97,6051,3795,0.0425568573397657,0.0262303948080043,0.483922156067586,"PLAG1","More than 3 adjacent zinc finger factors",295,0.000130378608143833,0.000326919495047224,"enriched"
"MA1129.1",310,133,3421,2298,0.0996464159434265,0.061431870669746,0.483699312796391,"FOSL1::JUN(var.2)","Fos-related factors, Jun-related factors",296,3.12198638965528e-05,8.54224289026201e-05,"enriched"
"MA0456.1",387,211,4618,3949,0.0914677381233751,0.0564472980203317,0.482678896849156,"opa","More than 3 adjacent zinc finger factors",297,3.55185468832958e-07,1.20791819360196e-06,"enriched"
"MA0454.1",173,64,3211,1885,0.0569453587886768,0.0351455244371225,0.482594907709997,"odd","More than 3 adjacent zinc finger factors",298,0.00227683418290257,0.00452137284548028,"enriched"
"MA0253.1",131,71,2409,2070,0.0575065847234416,0.0355177588794397,0.481866636653109,"vnd","NK-related factors",299,0.00255879693224974,0.00503369888311425,"enriched"
"MA0148.4",447,249,4846,4200,0.101614003182541,0.0630220197418375,0.477697167211532,"FOXA1","Forkhead box (FOX) factors",300,6.75334901606726e-08,2.56688378891244e-07,"enriched"
"MA0442.2",317,199,4323,4252,0.0791313030454319,0.0490994325191216,0.477261059555333,"SOX10","SOX-related factors",301,1.44909639437373e-06,4.44248529662021e-06,"enriched"
"MA0802.1",235,104,2854,1971,0.0897289041618939,0.0557043385109802,0.476734914036797,"TBR1","TBrain-related factors",302,0.000277966040647305,0.000656702831271726,"enriched"
"MA0051.1",174,107,3773,3669,0.0483467629897194,0.0300393037619315,0.475892620523199,"IRF2","Interferon-regulatory factors",303,0.000279428877554227,0.000657479711892299,"enriched"
"MA1563.1",377,129,4527,2412,0.0908433734939759,0.0565045992115637,0.47481481639139,"SOX18","SOX-related factors",304,2.72405146861507e-05,7.50230568405462e-05,"enriched"
"MA1111.1",127,67,1988,1644,0.0682428801719506,0.0424857324032974,0.473904797388413,"NR2F2","RXR-related receptors (NR2)",305,0.00431651539930968,0.00814946064862836,"enriched"
