HVAEP1_G000001	HVAEP1_T000001.1
HVAEP1_G007719	HVAEP1_T007719.1
HVAEP1_G007720	HVAEP1_T007720.1
HVAEP1_G007721	HVAEP1_T007721.1
HVAEP1_G007722	HVAEP1_T007722.1
HVAEP1_G007723	HVAEP1_T007723.1
HVAEP1_G007724	HVAEP1_T007724.1
HVAEP1_G007725	HVAEP1_T007725.1
HVAEP1_G007725	HVAEP1_T007725.2
HVAEP1_G007726	HVAEP1_T007726.1
HVAEP1_G007727	HVAEP1_T007727.1
HVAEP1_G007728	HVAEP1_T007728.1
HVAEP1_G007729	HVAEP1_T007729.1
HVAEP1_G007730	HVAEP1_T007730.1
HVAEP1_G007731	HVAEP1_T007731.1
HVAEP1_G007732	HVAEP1_T007732.1
HVAEP1_G007733	HVAEP1_T007733.1
HVAEP1_G007734	HVAEP1_T007734.1
HVAEP1_G007735	HVAEP1_T007735.1
HVAEP1_G007736	HVAEP1_T007736.1
HVAEP1_G007737	HVAEP1_T007737.1
HVAEP1_G007738	HVAEP1_T007738.1
HVAEP1_G007739	HVAEP1_T007739.1
HVAEP1_G007739	HVAEP1_T007739.2
HVAEP1_G007740	HVAEP1_T007740.1
HVAEP1_G007741	HVAEP1_T007741.1
HVAEP1_G007742	HVAEP1_T007742.1
HVAEP1_G007742	HVAEP1_T007742.2
HVAEP1_G007742	HVAEP1_T007742.3
HVAEP1_G007743	HVAEP1_T007743.1
HVAEP1_G007744	HVAEP1_T007744.1
HVAEP1_G007744	HVAEP1_T007744.2
HVAEP1_G007744	HVAEP1_T007744.3
HVAEP1_G007744	HVAEP1_T007744.4
HVAEP1_G007744	HVAEP1_T007744.5
HVAEP1_G007744	HVAEP1_T007744.6
HVAEP1_G007745	HVAEP1_T007745.1
HVAEP1_G007746	HVAEP1_T007746.1
HVAEP1_G007747	HVAEP1_T007747.1
HVAEP1_G007748	HVAEP1_T007748.1
HVAEP1_G007749	HVAEP1_T007749.1
HVAEP1_G007750	HVAEP1_T007750.1
HVAEP1_G007750	HVAEP1_T007750.2
HVAEP1_G007750	HVAEP1_T007750.3
HVAEP1_G007750	HVAEP1_T007750.4
HVAEP1_G007751	HVAEP1_T007751.1
HVAEP1_G007751	HVAEP1_T007751.2
HVAEP1_G007751	HVAEP1_T007751.3
HVAEP1_G007751	HVAEP1_T007751.4
HVAEP1_G007752	HVAEP1_T007752.1
HVAEP1_G007753	HVAEP1_T007753.1
HVAEP1_G007754	HVAEP1_T007754.1
HVAEP1_G007755	HVAEP1_T007755.1
HVAEP1_G007756	HVAEP1_T007756.1
HVAEP1_G007756	HVAEP1_T007756.2
HVAEP1_G007756	HVAEP1_T007756.3
HVAEP1_G007756	HVAEP1_T007756.4
HVAEP1_G007757	HVAEP1_T007757.1
HVAEP1_G007758	HVAEP1_T007758.1
HVAEP1_G007758	HVAEP1_T007758.2
HVAEP1_G007758	HVAEP1_T007758.3
HVAEP1_G007759	HVAEP1_T007759.1
HVAEP1_G007760	HVAEP1_T007760.1
HVAEP1_G007760	HVAEP1_T007760.2
HVAEP1_G007760	HVAEP1_T007760.3
HVAEP1_G007760	HVAEP1_T007760.4
HVAEP1_G007761	HVAEP1_T007761.1
HVAEP1_G007762	HVAEP1_T007762.1
HVAEP1_G007763	HVAEP1_T007763.1
HVAEP1_G007764	HVAEP1_T007764.1
HVAEP1_G007764	HVAEP1_T007764.2
HVAEP1_G007765	HVAEP1_T007765.1
HVAEP1_G007766	HVAEP1_T007766.1
HVAEP1_G007767	HVAEP1_T007767.1
HVAEP1_G007767	HVAEP1_T007767.2
HVAEP1_G007768	HVAEP1_T007768.1
HVAEP1_G007769	HVAEP1_T007769.1
HVAEP1_G007770	HVAEP1_T007770.1
HVAEP1_G007771	HVAEP1_T007771.1
HVAEP1_G007772	HVAEP1_T007772.1
HVAEP1_G007773	HVAEP1_T007773.1
HVAEP1_G007774	HVAEP1_T007774.1
HVAEP1_G007774	HVAEP1_T007774.2
HVAEP1_G007774	HVAEP1_T007774.3
HVAEP1_G007774	HVAEP1_T007774.4
HVAEP1_G007774	HVAEP1_T007774.5
HVAEP1_G007774	HVAEP1_T007774.6
HVAEP1_G007774	HVAEP1_T007774.7
HVAEP1_G007775	HVAEP1_T007775.1
HVAEP1_G007776	HVAEP1_T007776.1
HVAEP1_G007777	HVAEP1_T007777.1
HVAEP1_G007778	HVAEP1_T007778.1
HVAEP1_G007779	HVAEP1_T007779.1
HVAEP1_G007780	HVAEP1_T007780.1
HVAEP1_G007780	HVAEP1_T007780.2
HVAEP1_G007780	HVAEP1_T007780.3
HVAEP1_G007781	HVAEP1_T007781.1
HVAEP1_G007781	HVAEP1_T007781.2
HVAEP1_G007782	HVAEP1_T007782.1
HVAEP1_G007783	HVAEP1_T007783.1
HVAEP1_G007783	HVAEP1_T007783.2
HVAEP1_G007784	HVAEP1_T007784.1
HVAEP1_G007785	HVAEP1_T007785.1
HVAEP1_G007786	HVAEP1_T007786.1
HVAEP1_G007786	HVAEP1_T007786.2
HVAEP1_G007786	HVAEP1_T007786.3
HVAEP1_G007786	HVAEP1_T007786.4
HVAEP1_G007787	HVAEP1_T007787.1
HVAEP1_G007788	HVAEP1_T007788.1
HVAEP1_G007789	HVAEP1_T007789.1
HVAEP1_G007790	HVAEP1_T007790.1
HVAEP1_G007791	HVAEP1_T007791.1
HVAEP1_G007791	HVAEP1_T007791.2
HVAEP1_G007792	HVAEP1_T007792.1
HVAEP1_G007792	HVAEP1_T007792.2
HVAEP1_G007793	HVAEP1_T007793.1
HVAEP1_G007794	HVAEP1_T007794.1
HVAEP1_G007794	HVAEP1_T007794.2
HVAEP1_G007795	HVAEP1_T007795.1
HVAEP1_G007796	HVAEP1_T007796.1
HVAEP1_G007797	HVAEP1_T007797.1
HVAEP1_G007797	HVAEP1_T007797.2
HVAEP1_G007798	HVAEP1_T007798.1
HVAEP1_G007799	HVAEP1_T007799.1
HVAEP1_G007799	HVAEP1_T007799.2
HVAEP1_G007800	HVAEP1_T007800.1
HVAEP1_G007800	HVAEP1_T007800.2
HVAEP1_G007801	HVAEP1_T007801.1
HVAEP1_G007801	HVAEP1_T007801.2
HVAEP1_G007802	HVAEP1_T007802.1
HVAEP1_G007803	HVAEP1_T007803.1
HVAEP1_G007804	HVAEP1_T007804.1
HVAEP1_G007804	HVAEP1_T007804.2
HVAEP1_G007805	HVAEP1_T007805.1
HVAEP1_G007806	HVAEP1_T007806.1
HVAEP1_G007807	HVAEP1_T007807.1
HVAEP1_G007808	HVAEP1_T007808.1
HVAEP1_G007809	HVAEP1_T007809.1
HVAEP1_G007810	HVAEP1_T007810.1
HVAEP1_G007811	HVAEP1_T007811.1
HVAEP1_G007812	HVAEP1_T007812.1
HVAEP1_G007813	HVAEP1_T007813.1
HVAEP1_G007814	HVAEP1_T007814.1
HVAEP1_G007814	HVAEP1_T007814.2
HVAEP1_G007814	HVAEP1_T007814.3
HVAEP1_G007814	HVAEP1_T007814.4
HVAEP1_G007814	HVAEP1_T007814.5
HVAEP1_G007815	HVAEP1_T007815.1
HVAEP1_G007816	HVAEP1_T007816.1
HVAEP1_G007817	HVAEP1_T007817.1
HVAEP1_G007817	HVAEP1_T007817.2
HVAEP1_G007818	HVAEP1_T007818.1
HVAEP1_G007818	HVAEP1_T007818.2
HVAEP1_G007818	HVAEP1_T007818.3
HVAEP1_G007818	HVAEP1_T007818.4
HVAEP1_G007819	HVAEP1_T007819.1
HVAEP1_G007819	HVAEP1_T007819.2
HVAEP1_G007820	HVAEP1_T007820.1
HVAEP1_G007821	HVAEP1_T007821.1
HVAEP1_G007822	HVAEP1_T007822.1
HVAEP1_G007823	HVAEP1_T007823.1
HVAEP1_G007823	HVAEP1_T007823.2
HVAEP1_G007824	HVAEP1_T007824.1
HVAEP1_G007825	HVAEP1_T007825.1
HVAEP1_G007826	HVAEP1_T007826.1
HVAEP1_G007827	HVAEP1_T007827.1
HVAEP1_G007828	HVAEP1_T007828.1
HVAEP1_G007828	HVAEP1_T007828.2
HVAEP1_G007828	HVAEP1_T007828.3
HVAEP1_G007828	HVAEP1_T007828.4
HVAEP1_G007828	HVAEP1_T007828.5
HVAEP1_G007828	HVAEP1_T007828.6
HVAEP1_G007828	HVAEP1_T007828.7
HVAEP1_G007828	HVAEP1_T007828.8
HVAEP1_G007828	HVAEP1_T007828.9
HVAEP1_G007828	HVAEP1_T007828.10
HVAEP1_G007828	HVAEP1_T007828.11
HVAEP1_G007828	HVAEP1_T007828.12
HVAEP1_G007828	HVAEP1_T007828.13
HVAEP1_G007828	HVAEP1_T007828.14
HVAEP1_G007828	HVAEP1_T007828.15
HVAEP1_G007828	HVAEP1_T007828.16
HVAEP1_G007829	HVAEP1_T007829.1
HVAEP1_G007830	HVAEP1_T007830.1
HVAEP1_G007831	HVAEP1_T007831.1
HVAEP1_G007831	HVAEP1_T007831.2
HVAEP1_G007832	HVAEP1_T007832.1
HVAEP1_G007833	HVAEP1_T007833.1
HVAEP1_G007834	HVAEP1_T007834.1
HVAEP1_G007835	HVAEP1_T007835.1
HVAEP1_G007836	HVAEP1_T007836.1
HVAEP1_G007837	HVAEP1_T007837.1
HVAEP1_G007838	HVAEP1_T007838.1
HVAEP1_G007839	HVAEP1_T007839.1
HVAEP1_G007840	HVAEP1_T007840.1
HVAEP1_G007841	HVAEP1_T007841.1
HVAEP1_G007842	HVAEP1_T007842.1
HVAEP1_G007843	HVAEP1_T007843.1
HVAEP1_G007844	HVAEP1_T007844.1
HVAEP1_G007845	HVAEP1_T007845.1
HVAEP1_G007845	HVAEP1_T007845.2
HVAEP1_G007846	HVAEP1_T007846.1
HVAEP1_G007847	HVAEP1_T007847.1
HVAEP1_G007847	HVAEP1_T007847.2
HVAEP1_G007848	HVAEP1_T007848.1
HVAEP1_G007849	HVAEP1_T007849.1
HVAEP1_G007850	HVAEP1_T007850.1
HVAEP1_G007851	HVAEP1_T007851.1
HVAEP1_G007852	HVAEP1_T007852.1
HVAEP1_G007853	HVAEP1_T007853.1
HVAEP1_G007854	HVAEP1_T007854.1
HVAEP1_G007855	HVAEP1_T007855.1
HVAEP1_G007855	HVAEP1_T007855.2
HVAEP1_G007856	HVAEP1_T007856.1
HVAEP1_G007857	HVAEP1_T007857.1
HVAEP1_G007858	HVAEP1_T007858.1
HVAEP1_G007859	HVAEP1_T007859.1
HVAEP1_G007860	HVAEP1_T007860.1
HVAEP1_G007861	HVAEP1_T007861.1
HVAEP1_G007862	HVAEP1_T007862.1
HVAEP1_G007863	HVAEP1_T007863.1
HVAEP1_G007864	HVAEP1_T007864.1
HVAEP1_G007864	HVAEP1_T007864.2
HVAEP1_G007865	HVAEP1_T007865.1
HVAEP1_G007865	HVAEP1_T007865.2
HVAEP1_G007866	HVAEP1_T007866.1
HVAEP1_G007867	HVAEP1_T007867.1
HVAEP1_G007867	HVAEP1_T007867.2
HVAEP1_G007867	HVAEP1_T007867.3
HVAEP1_G007867	HVAEP1_T007867.4
HVAEP1_G007867	HVAEP1_T007867.5
HVAEP1_G007867	HVAEP1_T007867.6
HVAEP1_G007868	HVAEP1_T007868.1
HVAEP1_G007869	HVAEP1_T007869.1
HVAEP1_G007870	HVAEP1_T007870.1
HVAEP1_G007871	HVAEP1_T007871.1
HVAEP1_G007872	HVAEP1_T007872.1
HVAEP1_G007872	HVAEP1_T007872.2
HVAEP1_G007873	HVAEP1_T007873.1
HVAEP1_G007874	HVAEP1_T007874.1
HVAEP1_G007875	HVAEP1_T007875.1
HVAEP1_G007876	HVAEP1_T007876.1
HVAEP1_G007877	HVAEP1_T007877.1
HVAEP1_G007878	HVAEP1_T007878.1
HVAEP1_G007879	HVAEP1_T007879.1
HVAEP1_G007880	HVAEP1_T007880.1
HVAEP1_G007881	HVAEP1_T007881.1
HVAEP1_G007881	HVAEP1_T007881.2
HVAEP1_G007882	HVAEP1_T007882.1
HVAEP1_G007882	HVAEP1_T007882.2
HVAEP1_G007882	HVAEP1_T007882.3
HVAEP1_G007883	HVAEP1_T007883.1
HVAEP1_G007884	HVAEP1_T007884.1
HVAEP1_G007885	HVAEP1_T007885.1
HVAEP1_G007886	HVAEP1_T007886.1
HVAEP1_G007887	HVAEP1_T007887.1
HVAEP1_G007888	HVAEP1_T007888.1
HVAEP1_G007889	HVAEP1_T007889.1
HVAEP1_G007890	HVAEP1_T007890.1
HVAEP1_G007891	HVAEP1_T007891.1
HVAEP1_G007892	HVAEP1_T007892.1
HVAEP1_G007893	HVAEP1_T007893.1
HVAEP1_G007894	HVAEP1_T007894.1
HVAEP1_G007895	HVAEP1_T007895.1
HVAEP1_G007896	HVAEP1_T007896.1
HVAEP1_G007897	HVAEP1_T007897.1
HVAEP1_G007898	HVAEP1_T007898.1
HVAEP1_G007899	HVAEP1_T007899.1
HVAEP1_G007900	HVAEP1_T007900.1
HVAEP1_G007901	HVAEP1_T007901.1
HVAEP1_G007902	HVAEP1_T007902.1
HVAEP1_G007903	HVAEP1_T007903.1
HVAEP1_G007904	HVAEP1_T007904.1
HVAEP1_G007905	HVAEP1_T007905.1
HVAEP1_G007905	HVAEP1_T007905.2
HVAEP1_G007906	HVAEP1_T007906.1
HVAEP1_G007907	HVAEP1_T007907.1
HVAEP1_G007908	HVAEP1_T007908.1
HVAEP1_G007909	HVAEP1_T007909.1
HVAEP1_G007910	HVAEP1_T007910.1
HVAEP1_G007911	HVAEP1_T007911.1
HVAEP1_G007912	HVAEP1_T007912.1
HVAEP1_G007913	HVAEP1_T007913.1
HVAEP1_G007914	HVAEP1_T007914.1
HVAEP1_G007915	HVAEP1_T007915.1
HVAEP1_G007916	HVAEP1_T007916.1
HVAEP1_G007917	HVAEP1_T007917.1
HVAEP1_G007918	HVAEP1_T007918.1
HVAEP1_G007919	HVAEP1_T007919.1
HVAEP1_G007920	HVAEP1_T007920.1
HVAEP1_G007921	HVAEP1_T007921.1
HVAEP1_G007921	HVAEP1_T007921.2
HVAEP1_G007922	HVAEP1_T007922.1
HVAEP1_G007923	HVAEP1_T007923.1
HVAEP1_G007924	HVAEP1_T007924.1
HVAEP1_G007925	HVAEP1_T007925.1
HVAEP1_G007926	HVAEP1_T007926.1
HVAEP1_G007927	HVAEP1_T007927.1
HVAEP1_G007928	HVAEP1_T007928.1
HVAEP1_G007928	HVAEP1_T007928.2
HVAEP1_G007928	HVAEP1_T007928.3
HVAEP1_G007929	HVAEP1_T007929.1
HVAEP1_G007930	HVAEP1_T007930.1
HVAEP1_G007931	HVAEP1_T007931.1
HVAEP1_G007932	HVAEP1_T007932.1
HVAEP1_G007933	HVAEP1_T007933.1
HVAEP1_G007934	HVAEP1_T007934.1
HVAEP1_G007934	HVAEP1_T007934.2
HVAEP1_G007935	HVAEP1_T007935.1
HVAEP1_G007935	HVAEP1_T007935.2
HVAEP1_G007936	HVAEP1_T007936.1
HVAEP1_G007937	HVAEP1_T007937.1
HVAEP1_G007938	HVAEP1_T007938.1
HVAEP1_G007939	HVAEP1_T007939.1
HVAEP1_G007940	HVAEP1_T007940.1
HVAEP1_G007941	HVAEP1_T007941.1
HVAEP1_G007942	HVAEP1_T007942.1
HVAEP1_G007943	HVAEP1_T007943.1
HVAEP1_G007944	HVAEP1_T007944.1
HVAEP1_G007944	HVAEP1_T007944.2
HVAEP1_G007945	HVAEP1_T007945.1
HVAEP1_G007946	HVAEP1_T007946.1
HVAEP1_G007947	HVAEP1_T007947.1
HVAEP1_G007948	HVAEP1_T007948.1
HVAEP1_G007948	HVAEP1_T007948.2
HVAEP1_G007949	HVAEP1_T007949.1
HVAEP1_G007950	HVAEP1_T007950.1
HVAEP1_G007951	HVAEP1_T007951.1
HVAEP1_G007952	HVAEP1_T007952.1
HVAEP1_G007953	HVAEP1_T007953.1
HVAEP1_G007954	HVAEP1_T007954.1
HVAEP1_G007955	HVAEP1_T007955.1
HVAEP1_G007955	HVAEP1_T007955.2
HVAEP1_G007955	HVAEP1_T007955.3
HVAEP1_G007955	HVAEP1_T007955.4
HVAEP1_G007956	HVAEP1_T007956.1
HVAEP1_G007957	HVAEP1_T007957.1
HVAEP1_G007958	HVAEP1_T007958.1
HVAEP1_G007959	HVAEP1_T007959.1
HVAEP1_G007960	HVAEP1_T007960.1
HVAEP1_G007961	HVAEP1_T007961.1
HVAEP1_G007961	HVAEP1_T007961.2
HVAEP1_G007962	HVAEP1_T007962.1
HVAEP1_G007962	HVAEP1_T007962.2
HVAEP1_G007963	HVAEP1_T007963.1
HVAEP1_G007964	HVAEP1_T007964.1
HVAEP1_G007965	HVAEP1_T007965.1
HVAEP1_G007966	HVAEP1_T007966.1
HVAEP1_G007966	HVAEP1_T007966.2
HVAEP1_G007967	HVAEP1_T007967.1
HVAEP1_G007968	HVAEP1_T007968.1
HVAEP1_G007969	HVAEP1_T007969.1
HVAEP1_G007970	HVAEP1_T007970.1
HVAEP1_G007970	HVAEP1_T007970.2
HVAEP1_G007970	HVAEP1_T007970.3
HVAEP1_G007970	HVAEP1_T007970.4
HVAEP1_G007970	HVAEP1_T007970.5
HVAEP1_G007971	HVAEP1_T007971.1
HVAEP1_G007972	HVAEP1_T007972.1
HVAEP1_G007973	HVAEP1_T007973.1
HVAEP1_G007974	HVAEP1_T007974.1
HVAEP1_G007975	HVAEP1_T007975.1
HVAEP1_G007976	HVAEP1_T007976.1
HVAEP1_G007977	HVAEP1_T007977.1
HVAEP1_G007978	HVAEP1_T007978.1
HVAEP1_G007979	HVAEP1_T007979.1
HVAEP1_G007980	HVAEP1_T007980.1
HVAEP1_G007981	HVAEP1_T007981.1
HVAEP1_G007982	HVAEP1_T007982.1
HVAEP1_G007983	HVAEP1_T007983.1
HVAEP1_G007983	HVAEP1_T007983.2
HVAEP1_G007984	HVAEP1_T007984.1
HVAEP1_G007985	HVAEP1_T007985.1
HVAEP1_G007986	HVAEP1_T007986.1
HVAEP1_G007987	HVAEP1_T007987.1
HVAEP1_G007988	HVAEP1_T007988.1
HVAEP1_G007989	HVAEP1_T007989.1
HVAEP1_G007989	HVAEP1_T007989.2
HVAEP1_G007989	HVAEP1_T007989.3
HVAEP1_G007990	HVAEP1_T007990.1
HVAEP1_G007991	HVAEP1_T007991.1
HVAEP1_G007991	HVAEP1_T007991.2
HVAEP1_G007991	HVAEP1_T007991.3
HVAEP1_G007992	HVAEP1_T007992.1
HVAEP1_G007993	HVAEP1_T007993.1
HVAEP1_G007994	HVAEP1_T007994.1
HVAEP1_G007995	HVAEP1_T007995.1
HVAEP1_G007996	HVAEP1_T007996.1
HVAEP1_G007997	HVAEP1_T007997.1
HVAEP1_G007998	HVAEP1_T007998.1
HVAEP1_G007999	HVAEP1_T007999.1
HVAEP1_G008000	HVAEP1_T008000.1
HVAEP1_G008000	HVAEP1_T008000.2
HVAEP1_G008001	HVAEP1_T008001.1
HVAEP1_G008001	HVAEP1_T008001.2
HVAEP1_G008001	HVAEP1_T008001.3
HVAEP1_G008001	HVAEP1_T008001.4
HVAEP1_G008002	HVAEP1_T008002.1
HVAEP1_G008002	HVAEP1_T008002.2
HVAEP1_G008003	HVAEP1_T008003.1
HVAEP1_G008004	HVAEP1_T008004.1
HVAEP1_G008004	HVAEP1_T008004.2
HVAEP1_G008005	HVAEP1_T008005.1
HVAEP1_G008005	HVAEP1_T008005.2
HVAEP1_G008006	HVAEP1_T008006.1
HVAEP1_G008006	HVAEP1_T008006.2
HVAEP1_G008007	HVAEP1_T008007.1
HVAEP1_G008008	HVAEP1_T008008.1
HVAEP1_G008009	HVAEP1_T008009.1
HVAEP1_G008009	HVAEP1_T008009.2
HVAEP1_G008010	HVAEP1_T008010.1
HVAEP1_G008011	HVAEP1_T008011.1
HVAEP1_G008012	HVAEP1_T008012.1
HVAEP1_G008013	HVAEP1_T008013.1
HVAEP1_G008013	HVAEP1_T008013.2
HVAEP1_G008014	HVAEP1_T008014.1
HVAEP1_G008014	HVAEP1_T008014.2
HVAEP1_G008014	HVAEP1_T008014.3
HVAEP1_G008014	HVAEP1_T008014.4
HVAEP1_G008014	HVAEP1_T008014.5
HVAEP1_G008015	HVAEP1_T008015.1
HVAEP1_G008016	HVAEP1_T008016.1
HVAEP1_G008017	HVAEP1_T008017.1
HVAEP1_G008017	HVAEP1_T008017.2
HVAEP1_G008018	HVAEP1_T008018.1
HVAEP1_G008019	HVAEP1_T008019.1
HVAEP1_G008020	HVAEP1_T008020.1
HVAEP1_G008021	HVAEP1_T008021.1
HVAEP1_G008022	HVAEP1_T008022.1
HVAEP1_G008023	HVAEP1_T008023.1
HVAEP1_G008023	HVAEP1_T008023.2
HVAEP1_G008024	HVAEP1_T008024.1
HVAEP1_G008025	HVAEP1_T008025.1
HVAEP1_G008025	HVAEP1_T008025.2
HVAEP1_G008026	HVAEP1_T008026.1
HVAEP1_G008027	HVAEP1_T008027.1
HVAEP1_G008027	HVAEP1_T008027.2
HVAEP1_G008028	HVAEP1_T008028.1
HVAEP1_G008028	HVAEP1_T008028.2
HVAEP1_G008028	HVAEP1_T008028.3
HVAEP1_G008029	HVAEP1_T008029.1
HVAEP1_G008030	HVAEP1_T008030.1
HVAEP1_G008031	HVAEP1_T008031.1
HVAEP1_G008032	HVAEP1_T008032.1
HVAEP1_G008033	HVAEP1_T008033.1
HVAEP1_G008034	HVAEP1_T008034.1
HVAEP1_G008035	HVAEP1_T008035.1
HVAEP1_G008036	HVAEP1_T008036.1
HVAEP1_G008037	HVAEP1_T008037.1
HVAEP1_G008038	HVAEP1_T008038.1
HVAEP1_G008039	HVAEP1_T008039.1
HVAEP1_G008040	HVAEP1_T008040.1
HVAEP1_G008041	HVAEP1_T008041.1
HVAEP1_G008042	HVAEP1_T008042.1
HVAEP1_G008043	HVAEP1_T008043.1
HVAEP1_G008043	HVAEP1_T008043.2
HVAEP1_G008044	HVAEP1_T008044.1
HVAEP1_G008045	HVAEP1_T008045.1
HVAEP1_G008046	HVAEP1_T008046.1
HVAEP1_G008047	HVAEP1_T008047.1
HVAEP1_G008047	HVAEP1_T008047.2
HVAEP1_G008047	HVAEP1_T008047.3
HVAEP1_G008047	HVAEP1_T008047.4
HVAEP1_G008047	HVAEP1_T008047.5
HVAEP1_G008048	HVAEP1_T008048.1
HVAEP1_G008049	HVAEP1_T008049.1
HVAEP1_G008050	HVAEP1_T008050.1
HVAEP1_G008051	HVAEP1_T008051.1
HVAEP1_G008052	HVAEP1_T008052.1
HVAEP1_G008053	HVAEP1_T008053.1
HVAEP1_G008054	HVAEP1_T008054.1
HVAEP1_G008054	HVAEP1_T008054.2
HVAEP1_G008055	HVAEP1_T008055.1
HVAEP1_G008056	HVAEP1_T008056.1
HVAEP1_G008057	HVAEP1_T008057.1
HVAEP1_G008058	HVAEP1_T008058.1
HVAEP1_G008059	HVAEP1_T008059.1
HVAEP1_G008060	HVAEP1_T008060.1
HVAEP1_G008061	HVAEP1_T008061.1
HVAEP1_G008062	HVAEP1_T008062.1
HVAEP1_G008063	HVAEP1_T008063.1
HVAEP1_G008064	HVAEP1_T008064.1
HVAEP1_G008065	HVAEP1_T008065.1
HVAEP1_G008066	HVAEP1_T008066.1
HVAEP1_G008066	HVAEP1_T008066.2
HVAEP1_G008067	HVAEP1_T008067.1
HVAEP1_G008068	HVAEP1_T008068.1
HVAEP1_G008069	HVAEP1_T008069.1
HVAEP1_G008070	HVAEP1_T008070.1
HVAEP1_G008070	HVAEP1_T008070.2
HVAEP1_G008071	HVAEP1_T008071.1
HVAEP1_G008072	HVAEP1_T008072.1
HVAEP1_G008073	HVAEP1_T008073.1
HVAEP1_G008074	HVAEP1_T008074.1
HVAEP1_G008074	HVAEP1_T008074.2
HVAEP1_G008075	HVAEP1_T008075.1
HVAEP1_G008076	HVAEP1_T008076.1
HVAEP1_G008077	HVAEP1_T008077.1
HVAEP1_G008078	HVAEP1_T008078.1
HVAEP1_G008078	HVAEP1_T008078.2
HVAEP1_G008078	HVAEP1_T008078.3
HVAEP1_G008079	HVAEP1_T008079.1
HVAEP1_G008080	HVAEP1_T008080.1
HVAEP1_G008081	HVAEP1_T008081.1
HVAEP1_G008081	HVAEP1_T008081.2
HVAEP1_G008082	HVAEP1_T008082.1
HVAEP1_G008083	HVAEP1_T008083.1
HVAEP1_G008084	HVAEP1_T008084.1
HVAEP1_G008085	HVAEP1_T008085.1
HVAEP1_G008086	HVAEP1_T008086.1
HVAEP1_G008087	HVAEP1_T008087.1
HVAEP1_G008088	HVAEP1_T008088.1
HVAEP1_G008089	HVAEP1_T008089.1
HVAEP1_G008090	HVAEP1_T008090.1
HVAEP1_G008090	HVAEP1_T008090.2
HVAEP1_G008090	HVAEP1_T008090.3
HVAEP1_G008090	HVAEP1_T008090.4
HVAEP1_G008091	HVAEP1_T008091.1
HVAEP1_G008092	HVAEP1_T008092.1
HVAEP1_G008093	HVAEP1_T008093.1
HVAEP1_G008094	HVAEP1_T008094.1
HVAEP1_G008095	HVAEP1_T008095.1
HVAEP1_G008095	HVAEP1_T008095.2
HVAEP1_G008096	HVAEP1_T008096.1
HVAEP1_G008097	HVAEP1_T008097.1
HVAEP1_G008098	HVAEP1_T008098.1
HVAEP1_G008099	HVAEP1_T008099.1
HVAEP1_G008100	HVAEP1_T008100.1
HVAEP1_G008101	HVAEP1_T008101.1
HVAEP1_G008101	HVAEP1_T008101.2
HVAEP1_G008101	HVAEP1_T008101.3
HVAEP1_G008101	HVAEP1_T008101.4
HVAEP1_G008102	HVAEP1_T008102.1
HVAEP1_G008103	HVAEP1_T008103.1
HVAEP1_G008104	HVAEP1_T008104.1
HVAEP1_G008105	HVAEP1_T008105.1
HVAEP1_G008106	HVAEP1_T008106.1
HVAEP1_G008107	HVAEP1_T008107.1
HVAEP1_G008108	HVAEP1_T008108.1
HVAEP1_G008109	HVAEP1_T008109.1
HVAEP1_G008110	HVAEP1_T008110.1
HVAEP1_G008111	HVAEP1_T008111.1
HVAEP1_G008112	HVAEP1_T008112.1
HVAEP1_G008112	HVAEP1_T008112.2
HVAEP1_G008113	HVAEP1_T008113.1
HVAEP1_G008114	HVAEP1_T008114.1
HVAEP1_G008114	HVAEP1_T008114.2
HVAEP1_G008115	HVAEP1_T008115.1
HVAEP1_G008115	HVAEP1_T008115.2
HVAEP1_G008115	HVAEP1_T008115.3
HVAEP1_G008116	HVAEP1_T008116.1
HVAEP1_G008117	HVAEP1_T008117.1
HVAEP1_G008118	HVAEP1_T008118.1
HVAEP1_G008119	HVAEP1_T008119.1
HVAEP1_G008120	HVAEP1_T008120.1
HVAEP1_G008121	HVAEP1_T008121.1
HVAEP1_G008121	HVAEP1_T008121.2
HVAEP1_G008122	HVAEP1_T008122.1
HVAEP1_G008123	HVAEP1_T008123.1
HVAEP1_G008124	HVAEP1_T008124.1
HVAEP1_G008125	HVAEP1_T008125.1
HVAEP1_G008126	HVAEP1_T008126.1
HVAEP1_G008127	HVAEP1_T008127.1
HVAEP1_G008128	HVAEP1_T008128.1
HVAEP1_G008128	HVAEP1_T008128.2
HVAEP1_G008129	HVAEP1_T008129.1
HVAEP1_G008130	HVAEP1_T008130.1
HVAEP1_G008131	HVAEP1_T008131.1
HVAEP1_G008132	HVAEP1_T008132.1
HVAEP1_G008133	HVAEP1_T008133.1
HVAEP1_G008134	HVAEP1_T008134.1
HVAEP1_G008135	HVAEP1_T008135.1
HVAEP1_G008136	HVAEP1_T008136.1
HVAEP1_G008137	HVAEP1_T008137.1
HVAEP1_G008138	HVAEP1_T008138.1
HVAEP1_G008139	HVAEP1_T008139.1
HVAEP1_G008140	HVAEP1_T008140.1
HVAEP1_G008141	HVAEP1_T008141.1
HVAEP1_G008141	HVAEP1_T008141.2
HVAEP1_G008141	HVAEP1_T008141.3
HVAEP1_G008141	HVAEP1_T008141.4
HVAEP1_G008142	HVAEP1_T008142.1
HVAEP1_G008143	HVAEP1_T008143.1
